code,species_name
AAAAA01060,AMBYlate - Blue-spotted Salamander (Ambystoma laterale) - S5
AAAAA01090,AMBYmacu - Spotted Salamander (Ambystoma maculatum) - S5
AAAAD08010,HEMIscut - Four-toed Salamander (Hemidactylium scutatum) - S3
AAAAD12020,PLETcine - Eastern Red-backed Salamander (Plethodon cinereus) - S5
AAAAF01030,NOTOviri - Eastern Newt (Notophthalmus viridescens) - S5
AAAAF01034,NOTOvivi - Red-spotted Newt (Notophthalmus viridescens viridescens) - S5
AAABB01020,ANAXamer - American Toad (Anaxyrus americanus) - S5
AAABB01021,ANAXamam - Eastern American Toad (Anaxyrus americanus americanus) - S5
AAABC02130,HYLAvers - Gray Treefrog (Dryophytes versicolor) - SNA
AAABC05090,PSEUcruc - Spring Peeper (Pseudacris crucifer) - S5
AAABH01070,LITHcate - American Bullfrog (Lithobates catesbeianus) - S5
AAABH01090,LITHclam - Green Frog (Lithobates clamitans) - S5
AAABH01160,LITHpalu - Pickerel Frog (Lithobates palustris) - S5
AAABH01170,LITHpipi - Northern Leopard Frog (Lithobates pipiens) - S5
AAABH01173,LITHpi.3 - Northern Leopard Frog - Eastern Population (Lithobates pipiens pop. 3) - S5
AAABH01190,LITHsept - Mink Frog (Lithobates septentrionalis) - S5
AAABH01200,LITHsylv - Wood Frog (Lithobates sylvaticus) - S5
ABNBA01040,GAVIadam - Yellow-Billed Loon (Gavia adamsii) - SNA
ABNBA01030,GAVIimme - Common Loon (Gavia immer) - S4B
ABNBA01050,GAVIpaci - Pacific Loon (Gavia pacifica) - SNA
ABNBA01010,"GAVIstel - Red-throated Loon (Gavia stellata) - S4N,S5M"
ABNCA04010,AECHocci - Western Grebe (Aechmophorus occidentalis) - SNA
ABNCA03010,"PODIauri - Horned Grebe (Podiceps auritus) - S3N,SUM"
ABNCA03011,PODIau.1 - Horned Grebe - Magdalen Islands population (Podiceps auritus pop. 1) - SNA
ABNCA03012,"PODIau.2 - Horned Grebe - Western population (Podiceps auritus pop. 2) - S3N,SUM"
ABNCA03020,PODIgris - Red-necked Grebe (Podiceps grisegena) - S4N
ABNCA03030,PODInigr - Eared Grebe (Podiceps nigricollis) - SNA
ABNCA02010,PODIpodi - Pied-billed Grebe (Podilymbus podiceps) - S4B
ABNDA01070,THALchlo - Yellow-nosed Albatross (Thalassarche chlororhynchos) - SNA
ABNDA01050,THALmela - Black-browed Albatross (Thalassarche melanophris) - SNA
ABNDB07030,ARDEgrav - Great Shearwater (Ardenna gravis) - S5N
ABNDB07060,ARDEgris - Sooty Shearwater (Ardenna grisea) - S5N
